Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2005,W,HINU,102,,001,INTR HINDI-URDU,"Bryant, Kenneth",34,85.74,9.61,98,62,27,0,3,1,3,0,0,0,0,0,0,0,0,1,0,1,1,3,7,3,11
UBC,2005,W,HINU,200,,001,INTRM HINDI-URDU,"Bryant, Kenneth",13,90.92,3.65,94,83,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9
UBC,2007,W,SOAL,440,A,001,S ASIA LANGUAGES,"Bryant, Kenneth",6,77,18.79,94,45,4,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,1
UBC,2009,W,ASIA,353,,001,INTRO HINDI FILM,"Bryant, Kenneth",128,77.28,6.51,95,61,124,0,2,0,2,0,0,0,0,0,0,0,0,3,6,11,27,26,36,11,4
UBC,2009,W,HINU,102,,001,INTR HINDI-URDU,"Bryant, Kenneth",25,81.61,13.63,97,50,18,0,7,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,5,4,5
UBC,2010,S,ASIA,353,,951,INTRO HINDI FILM,"Bryant, Kenneth",58,76.98,10.42,91,41,47,2,8,0,1,0,0,0,0,2,2,0,0,0,6,2,7,9,12,8,3
UBC,2010,W,ASIA,353,,001,INTRO HINDI FILM,"Bryant, Kenneth",45,72.45,9.72,85,46,39,1,1,1,1,0,0,0,0,1,1,2,1,3,3,2,11,3,12,2,0
UBC,2010,W,HINU,102,,001,INTR HINDI-URDU,"Bryant, Kenneth",23,80.11,14.04,99,50,19,0,4,0,0,0,0,0,0,0,0,1,1,1,0,1,3,1,3,1,7
UBC,2011,W,ASIA,213,,001,N.IND MTH LIT,"Bryant, Kenneth",16,76.07,6.81,84,60,15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,5,1,6,0,0
UBC,2011,W,HINU,100,,001,INTR HNDI-URDU 1,"Bryant, Kenneth",24,83.9,11.65,99,54,20,0,1,3,0,0,0,0,0,0,0,1,0,0,1,1,1,1,4,3,8
UBC,2011,W,HINU,101,,002,INTR HNDI-URDU 2,"Bryant, Kenneth",11,83,11.86,97,65,8,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,3
UBC,2011,W,HINU,201,,001,INTM HNDI-URDU 1,"Bryant, Kenneth",13,80.36,12.27,94,56,11,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,4,2
UBC,2011,W,HINU,202,,002,INTM HNDI-URDU 2,"Bryant, Kenneth",8,83.17,3.13,88,80,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0
UBC,2012,W,HINU,300,,001,ADV HINDI-URDU,"Bryant, Kenneth",6,84,4.29,90,77,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
UBC,2013,W,ASIA,222,,001,ENCOUNTERNG ASIA,"Bryant, Kenneth;Burk, Stefania",40,72.95,9.83,87,38,38,1,1,0,0,0,0,0,1,0,1,0,1,3,5,6,7,5,6,5,0
